speed, gear, position_x, position_y
1.2163059448511149e-09, 1, 0.0, 0.0, 
2.4318009828050435e-09, 1, 0.0, 0.0, 
0.0005244038766250014, 1, 1.7089843822759576e-05, -7.934570021461695e-05, 
-0.0024885949678719044, 1, -7.049560372252017e-05, 0.0003198242047801614, 
0.016508854925632477, 1, -0.0003041076706722379, -0.0006738281226716936, 
0.014310590922832489, 1, -0.0010653686476871371, -0.0013354491675272584, 
0.012848400510847569, 1, -0.0017800902714952826, -0.0016552733723074198, 
0.01148205529898405, 1, -0.002448120154440403, -0.0018054199172183871, 
0.01020777877420187, 1, -0.003060302697122097, -0.0018017577240243554, 
0.008913451805710793, 1, -0.003605804406106472, -0.0017504882998764515, 
0.007620697841048241, 1, -0.0040794373489916325, -0.001708984375, 
0.0667964518070221, 1, -0.003280486911535263, -0.0016137694474309683, 
0.2159157693386078, 1, 0.007228698581457138, -0.0016772460658103228, 
0.8945572972297668, 1, 0.07496337592601776, -0.0016760253347456455, 
1.3689687252044678, 1, 0.16155609488487244, -0.0016381836030632257, 
1.6574630737304688, 1, 0.21763914823532104, -0.0016125488327816129, 
2.2781119346618652, 1, 0.35098251700401306, -0.0015441894065588713, 
2.4079878330230713, 0, 0.5912914872169495, -0.0014172362862154841, 
2.4055001735687256, 0, 0.7542005777359009, -0.0013281250139698386, 
2.549246311187744, 2, 0.835616409778595, -0.0012890624348074198, 
2.96667218208313, 2, 1.0166784524917603, -0.0011877440847456455, 
3.3570427894592285, 2, 1.3387218713760376, -0.0010107421549037099, 
3.726809024810791, 2, 1.5855742692947388, -0.0008752441499382257, 
4.056970596313477, 2, 1.8555001020431519, -0.0005688476376235485, 
4.214236736297607, 2, 2.1389946937561035, -0.0034802246373146772, 
4.273169994354248, 2, 2.4261603355407715, -0.0026757812593132257, 
4.2633957862854, 2, 2.7108981609344482, -0.0055786133743822575, 
4.254335403442383, 2, 2.993274450302124, -0.007950439117848873, 
4.738570213317871, 2, 3.299680709838867, -0.009892578236758709, 
5.201137065887451, 2, 3.6373541355133057, -0.011646728031337261, 
5.513258457183838, 2, 4.001702785491943, -0.01342040952295065, 
5.869609832763672, 2, 4.391145706176758, -0.015217284671962261, 
6.350004196166992, 2, 4.806093215942383, -0.017012938857078552, 
6.166736125946045, 0, 5.226471900939941, -0.018909912556409836, 
6.374146461486816, 0, 5.647183895111084, -0.020899657160043716, 
6.150318622589111, 1, 6.06151008605957, -0.022498778998851776, 
6.578139305114746, 1, 6.480859279632568, -0.024123534560203552, 
6.753117084503174, 1, 6.914841175079346, -0.025789793580770493, 
7.180242538452148, 1, 7.368143081665039, -0.027495115995407104, 
7.397574424743652, 1, 7.836452960968018, -0.02919677644968033, 
7.804474830627441, 1, 8.324105262756348, -0.03101196140050888, 
8.077791213989258, 1, 8.828876495361328, -0.032813720405101776, 
8.439718246459961, 1, 9.351197242736816, -0.03467040881514549, 
8.748414993286133, 1, 9.890214920043945, -0.03657470643520355, 
9.03742504119873, 1, 10.444334030151367, -0.03851318359375, 
9.343091011047363, 1, 11.013229370117188, -0.04048705846071243, 
9.624116897583008, 1, 11.595916748046875, -0.04249267652630806, 
9.900114059448242, 1, 12.191593170166016, -0.04452880844473839, 
10.165376663208008, 1, 12.79947566986084, -0.046595457941293716, 
10.294002532958984, 1, 13.414125442504883, -0.04862304404377937, 
10.279566764831543, 0, 14.023626327514648, -0.050556641072034836, 
10.270181655883789, 0, 14.626262664794922, -0.052470702677965164, 
10.255837440490723, 0, 15.224047660827637, -0.053985595703125, 
10.537760734558105, 2, 15.829333305358887, -0.057329099625349045, 
10.821582794189453, 2, 16.447439193725586, -0.05924682319164276, 
11.30025577545166, 2, 17.397748947143555, -0.062022704631090164, 
11.544927597045898, 2, 18.043861389160156, -0.06385009735822678, 
11.834547996520996, 2, 19.030797958374023, -0.06658691167831421, 
12.07097339630127, 2, 19.701234817504883, -0.06841552257537842, 
12.46491813659668, 2, 20.724185943603516, -0.07116332650184631, 
12.684683799743652, 2, 21.416229248046875, -0.0729968249797821, 
12.976524353027344, 2, 22.468910217285156, -0.07574828714132309, 
13.32493782043457, 2, 23.539575576782227, -0.07850341498851776, 
13.619423866271973, 2, 24.625789642333984, -0.08125854283571243, 
13.821616172790527, 2, 25.35854148864746, -0.08309447765350342, 
14.015753746032715, 0, 26.46438980102539, -0.08583252131938934, 
13.968770027160645, 0, 27.56102180480957, -0.08851684629917145, 
13.963322639465332, 1, 28.646589279174805, -0.0911547839641571, 
13.635733604431152, 1, 29.70425033569336, -0.09371459484100342, 
13.382404327392578, 1, 30.730974197387695, -0.09620605409145355, 
13.165749549865723, 1, 31.73080825805664, -0.09864379465579987, 
12.974989891052246, 1, 32.70653533935547, -0.10103881359100342, 
12.796884536743164, 1, 33.65965270996094, -0.1033947765827179, 
12.628767013549805, 1, 34.59135437011719, -0.1057141125202179, 
12.465959548950195, 1, 35.502540588378906, -0.10799316316843033, 
12.30833911895752, 1, 36.39398956298828, -0.11023559421300888, 
12.154056549072266, 1, 37.26621627807617, -0.11244262754917145, 
12.003463745117188, 1, 38.11989974975586, -0.11461425572633743, 
11.855660438537598, 1, 38.955413818359375, -0.11675048619508743, 
11.711030960083008, 1, 39.773284912109375, -0.11885131895542145, 
11.56934642791748, 1, 40.57398223876953, -0.12091919034719467, 
11.485615730285645, 1, 41.35997009277344, -0.12295898050069809, 
11.48414421081543, 0, 42.13838195800781, -0.12498535215854645, 
